case_id,method,shape,init_n_neg_2tri,init_min_T,final_n_neg_2tri,final_min_T,feasible,L1_dev,L2_dev,Linf_dev,wall_s,error
01a_10x10_crossing,harmonic_only,10x10,16,-0.7439316118613307,0,0.14765796512320242,True,24.912511449173376,5.756969859511338,3.1063656637997026,0.005635261535644531,
01a_10x10_crossing,m10,10x10,16,-0.7439316118613307,0,0.042750503516375445,True,8.396565207623103,3.4023735224675127,2.26953938491784,0.06365418434143066,
01a_10x10_crossing,m14,10x10,16,-0.7439316118613307,0,0.010999979891742761,True,6.676493563722547,3.0529321277973755,2.1051462004350183,0.15407991409301758,
01a_10x10_crossing,m14_schwarz,10x10,16,-0.7439316118613307,0,0.010999979891742761,True,6.676493563722547,3.0529321277973755,2.1051462004350183,0.16866350173950195,
01a_10x10_crossing,cluster_pipeline,10x10,16,-0.7439316118613307,16,-0.7439316118613307,False,0.0,0.0,0.0,1.239776611328125e-05,NotImplementedError: cluster_pipeline adapter not yet implemented; see Task 9 note in plan
01a_10x10_crossing,lp_oneshot,10x10,16,-0.7439316118613307,0,0.009383685354013146,False,6.644576633150191,3.0459457428346908,2.10185842328874,0.016699552536010742,
01a_10x10_crossing,slp_iter,10x10,16,-0.7439316118613307,0,0.009999999999999518,True,6.640326147783156,3.0453642302907546,2.1011425102725725,0.03739666938781738,
01b_10x10_opposite,harmonic_only,10x10,8,-0.5869792316261988,4,-0.4672750650854367,False,13.112175547655635,2.827310747459029,1.951914778753191,0.00468134880065918,
01b_10x10_opposite,m10,10x10,8,-0.5869792316261988,0,0.019999999931137824,True,14.150747228734778,2.9995858974720773,1.951914778753191,0.0859832763671875,
01b_10x10_opposite,m14,10x10,8,-0.5869792316261988,0,0.011000702307961093,True,3.552425949868692,1.6934850240428025,1.2126149248391018,0.1645820140838623,
01b_10x10_opposite,m14_schwarz,10x10,8,-0.5869792316261988,0,0.010999979991259373,True,3.5522980525121453,1.8467212535030317,1.2733392725920663,0.18654441833496094,
01b_10x10_opposite,cluster_pipeline,10x10,8,-0.5869792316261988,8,-0.5869792316261988,False,0.0,0.0,0.0,1.2159347534179688e-05,NotImplementedError: cluster_pipeline adapter not yet implemented; see Task 9 note in plan
01b_10x10_opposite,lp_oneshot,10x10,8,-0.5869792316261988,0,0.009999999999999953,True,3.5361991744260757,1.8934608081422148,1.5161820610632373,0.014483928680419922,
01b_10x10_opposite,slp_iter,10x10,8,-0.5869792316261988,4,-0.4672750650854367,False,13.112175547655635,2.827310747459029,1.951914778753191,0.07635211944580078,
03a_10x10_opposite,harmonic_only,10x10,14,-0.813748372715718,9,-0.2921047196465849,False,22.957856456510918,4.521644089061821,2.9610106968281666,0.005136966705322266,
03a_10x10_opposite,m10,10x10,14,-0.813748372715718,0,0.01999999963753855,True,24.810206553660073,4.617510056614781,2.9610106968281666,0.21897220611572266,
03a_10x10_opposite,m14,10x10,14,-0.813748372715718,0,0.010999979955942733,True,7.135114966438479,2.8183819083009793,2.280193660797422,0.405536413192749,
03a_10x10_opposite,m14_schwarz,10x10,14,-0.813748372715718,0,0.010999979895505219,True,7.135151896274285,2.8087617047936546,2.2801819115707858,0.47597646713256836,
03a_10x10_opposite,cluster_pipeline,10x10,14,-0.813748372715718,14,-0.813748372715718,False,0.0,0.0,0.0,1.239776611328125e-05,NotImplementedError: cluster_pipeline adapter not yet implemented; see Task 9 note in plan
03a_10x10_opposite,lp_oneshot,10x10,14,-0.813748372715718,2,-0.06283062264800987,False,6.977705012797912,2.7840221140002295,2.26857345325378,0.015740633010864258,
03a_10x10_opposite,slp_iter,10x10,14,-0.813748372715718,9,-0.2921047196465849,False,22.957856456510918,4.521644089061821,2.9610106968281666,0.10375261306762695,
03b_10x10_crossing,harmonic_only,10x10,24,-0.7002332902447698,12,-0.3512801411910042,False,48.57077875310841,8.093361179308516,3.3491774183444676,0.0062901973724365234,
03b_10x10_crossing,m10,10x10,24,-0.7002332902447698,0,0.019999997471880582,True,52.44457785052596,8.235864510658438,3.3491774183444676,0.28028416633605957,
03b_10x10_crossing,m14,10x10,24,-0.7002332902447698,0,0.010999979763574213,True,15.867548976403251,4.514155160956292,1.8119582117284028,0.5736784934997559,
03b_10x10_crossing,m14_schwarz,10x10,24,-0.7002332902447698,0,0.010999979763574213,True,15.867548976403251,4.514155160956292,1.8119582117284028,0.6231322288513184,
